"species","family","class","included_in_analysis"
"Ambystoma_amblycephalum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_andersoni","Ambystomatidae","Amphibia",TRUE
"Ambystoma_annulatum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_barbouri","Ambystomatidae","Amphibia",TRUE
"Ambystoma_bishopi","Ambystomatidae","Amphibia",TRUE
"Ambystoma_bombypellum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_californiense","Ambystomatidae","Amphibia",TRUE
"Ambystoma_cingulatum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_dumerilii","Ambystomatidae","Amphibia",TRUE
"Ambystoma_flavipiperatum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_gracile","Ambystomatidae","Amphibia",TRUE
"Ambystoma_granulosum","Ambystomatidae","Amphibia",FALSE
"Ambystoma_jeffersonianum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_laterale","Ambystomatidae","Amphibia",TRUE
"Ambystoma_leorae","Ambystomatidae","Amphibia",FALSE
"Ambystoma_lermaense","Ambystomatidae","Amphibia",TRUE
"Ambystoma_mabeei","Ambystomatidae","Amphibia",TRUE
"Ambystoma_macrodactylum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_maculatum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_mexicanum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_opacum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_ordinarium","Ambystomatidae","Amphibia",TRUE
"Ambystoma_rivulare","Ambystomatidae","Amphibia",FALSE
"Ambystoma_rosaceum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_silvense","Ambystomatidae","Amphibia",FALSE
"Ambystoma_talpoideum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_taylori","Ambystomatidae","Amphibia",TRUE
"Ambystoma_texanum","Ambystomatidae","Amphibia",TRUE
"Ambystoma_velasci","Ambystomatidae","Amphibia",FALSE
"Ameerega_andina","Dendrobatidae","Amphibia",TRUE
"Ameerega_bassleri","Dendrobatidae","Amphibia",TRUE
"Ameerega_berohoka","Dendrobatidae","Amphibia",FALSE
"Ameerega_bilinguis","Dendrobatidae","Amphibia",TRUE
"Ameerega_boehmei","Dendrobatidae","Amphibia",TRUE
"Ameerega_boliviana","Dendrobatidae","Amphibia",TRUE
"Ameerega_braccata","Dendrobatidae","Amphibia",TRUE
"Ameerega_cainarachi","Dendrobatidae","Amphibia",TRUE
"Ameerega_erythromos","Dendrobatidae","Amphibia",TRUE
"Ameerega_flavopicta","Dendrobatidae","Amphibia",TRUE
"Ameerega_hahneli","Dendrobatidae","Amphibia",TRUE
"Ameerega_ingeri","Dendrobatidae","Amphibia",TRUE
"Ameerega_macero","Dendrobatidae","Amphibia",TRUE
"Ameerega_parvula","Dendrobatidae","Amphibia",TRUE
"Ameerega_petersi","Dendrobatidae","Amphibia",TRUE
"Ameerega_picta","Dendrobatidae","Amphibia",TRUE
"Ameerega_planipaleae","Dendrobatidae","Amphibia",TRUE
"Ameerega_pongoensis","Dendrobatidae","Amphibia",TRUE
"Ameerega_pulchripecta","Dendrobatidae","Amphibia",TRUE
"Ameerega_rubriventris","Dendrobatidae","Amphibia",TRUE
"Ameerega_silverstonei","Dendrobatidae","Amphibia",TRUE
"Ameerega_simulans","Dendrobatidae","Amphibia",TRUE
"Ameerega_smaragdina","Dendrobatidae","Amphibia",TRUE
"Ameerega_trivittata","Dendrobatidae","Amphibia",TRUE
"Ameerega_yungicola","Dendrobatidae","Amphibia",TRUE
"Amphiuma_means","Amphiumidae","Amphibia",TRUE
"Amphiuma_pholeter","Amphiumidae","Amphibia",TRUE
"Amphiuma_tridactylum","Amphiumidae","Amphibia",TRUE
"Anaxyrus_americanus","Bufonidae","Amphibia",TRUE
