"species","family","class","included_in_analysis"
"Lithobates_johni","Ranidae","Amphibia",FALSE
"Lithobates_juliani","Ranidae","Amphibia",FALSE
"Lithobates_lemosespinali","Ranidae","Amphibia",FALSE
"Lithobates_macroglossa","Ranidae","Amphibia",FALSE
"Lithobates_maculatus","Ranidae","Amphibia",FALSE
"Lithobates_magnaocularis","Ranidae","Amphibia",FALSE
"Lithobates_megapoda","Ranidae","Amphibia",FALSE
"Lithobates_miadis","Ranidae","Amphibia",FALSE
"Lithobates_montezumae","Ranidae","Amphibia",FALSE
"Lithobates_neovolcanicus","Ranidae","Amphibia",FALSE
"Lithobates_okaloosae","Ranidae","Amphibia",FALSE
"Lithobates_omiltemanus","Ranidae","Amphibia",FALSE
"Lithobates_onca","Ranidae","Amphibia",FALSE
"Lithobates_palmipes","Ranidae","Amphibia",FALSE
"Lithobates_palustris","Ranidae","Amphibia",FALSE
"Lithobates_pipiens","Ranidae","Amphibia",FALSE
"Lithobates_psilonota","Ranidae","Amphibia",FALSE
"Lithobates_pueblae","Ranidae","Amphibia",FALSE
"Lithobates_pustulosus","Ranidae","Amphibia",FALSE
"Lithobates_septentrionalis","Ranidae","Amphibia",FALSE
"Lithobates_sevosus","Ranidae","Amphibia",FALSE
"Lithobates_sierramadrensis","Ranidae","Amphibia",FALSE
"Lithobates_spectabilis","Ranidae","Amphibia",FALSE
"Lithobates_sphenocephalus","Ranidae","Amphibia",FALSE
"Lithobates_subaquavocalis","Ranidae","Amphibia",FALSE
"Lithobates_sylvaticus","Ranidae","Amphibia",FALSE
"Lithobates_tarahumarae","Ranidae","Amphibia",FALSE
"Lithobates_taylori","Ranidae","Amphibia",FALSE
"Lithobates_tlaloci","Ranidae","Amphibia",FALSE
"Lithobates_vaillanti","Ranidae","Amphibia",FALSE
"Lithobates_vibicarius","Ranidae","Amphibia",FALSE
"Lithobates_virgatipes","Ranidae","Amphibia",FALSE
"Lithobates_warszewitschii","Ranidae","Amphibia",FALSE
"Lithobates_yavapaiensis","Ranidae","Amphibia",FALSE
"Lithobates_zweifeli","Ranidae","Amphibia",FALSE
"Lithodytes_lineatus","Leptodactylidae","Amphibia",FALSE
"Luetkenotyphlus_brasiliensis","Caeciliidae","Amphibia",TRUE
"Lynchius_flavomaculatus","Strabomantidae","Amphibia",TRUE
"Lynchius_nebulanastes","Strabomantidae","Amphibia",TRUE
"Lynchius_parkeri","Strabomantidae","Amphibia",FALSE
"Lynchius_simmonsi","Craugastoridae","Amphibia",FALSE
"Macrogenioglottus_alipioi","Cycloramphidae","Amphibia",TRUE
"Mannophryne_caquetio","Aromobatidae","Amphibia",TRUE
"Mannophryne_collaris","Aromobatidae","Amphibia",TRUE
"Mannophryne_cordilleriana","Aromobatidae","Amphibia",FALSE
"Mannophryne_herminae","Aromobatidae","Amphibia",FALSE
"Mannophryne_lamarcai","Aromobatidae","Amphibia",TRUE
"Mannophryne_larandina","Aromobatidae","Amphibia",TRUE
"Mannophryne_leonardoi","Aromobatidae","Amphibia",TRUE
"Mannophryne_neblina","Aromobatidae","Amphibia",TRUE
"Mannophryne_oblitterata","Aromobatidae","Amphibia",TRUE
"Mannophryne_olmonae","Aromobatidae","Amphibia",FALSE
"Mannophryne_riveroi","Aromobatidae","Amphibia",TRUE
"Mannophryne_speeri","Aromobatidae","Amphibia",TRUE
"Mannophryne_trinitatis","Aromobatidae","Amphibia",FALSE
"Mannophryne_trujillensis","Aromobatidae","Amphibia",TRUE
"Mannophryne_venezuelensis","Aromobatidae","Amphibia",TRUE
"Mannophryne_yustizi","Aromobatidae","Amphibia",TRUE
"Megaelosia_apuana","Hylodidae","Amphibia",TRUE
"Megaelosia_bocainensis","Hylodidae","Amphibia",TRUE
"Megaelosia_boticariana","Hylodidae","Amphibia",TRUE
"Megaelosia_goeldii","Hylodidae","Amphibia",TRUE
"Megaelosia_jordanensis","Hylodidae","Amphibia",FALSE
"Megaelosia_lutzae","Hylodidae","Amphibia",TRUE
"Megaelosia_massarti","Hylodidae","Amphibia",TRUE
"Megastomatohyla_mixe","Hylidae","Amphibia",TRUE
"Megastomatohyla_mixomaculata","Hylidae","Amphibia",TRUE
"Megastomatohyla_nubicola","Hylidae","Amphibia",TRUE
"Megastomatohyla_pellita","Hylidae","Amphibia",TRUE
"Melanophryniscus_admirabilis","Bufonidae","Amphibia",TRUE
"Melanophryniscus_alipioi","Bufonidae","Amphibia",TRUE
"Melanophryniscus_atroluteus","Bufonidae","Amphibia",TRUE
"Melanophryniscus_cambaraensis","Bufonidae","Amphibia",FALSE
"Melanophryniscus_cupreuscapularis","Bufonidae","Amphibia",TRUE
"Melanophryniscus_devincenzii","Bufonidae","Amphibia",TRUE
"Melanophryniscus_dorsalis","Bufonidae","Amphibia",TRUE
"Melanophryniscus_fulvoguttatus","Bufonidae","Amphibia",TRUE
"Melanophryniscus_klappenbachi","Bufonidae","Amphibia",TRUE
"Melanophryniscus_krauczuki","Bufonidae","Amphibia",TRUE
"Melanophryniscus_langonei","Bufonidae","Amphibia",TRUE
"Melanophryniscus_macrogranulosus","Bufonidae","Amphibia",FALSE
"Melanophryniscus_montevidensis","Bufonidae","Amphibia",TRUE
"Melanophryniscus_moreirae","Bufonidae","Amphibia",TRUE
"Melanophryniscus_pachyrhynus","Bufonidae","Amphibia",FALSE
"Melanophryniscus_peritus","Bufonidae","Amphibia",FALSE
"Melanophryniscus_rubriventris","Bufonidae","Amphibia",TRUE
"Melanophryniscus_sanmartini","Bufonidae","Amphibia",TRUE
"Melanophryniscus_simplex","Bufonidae","Amphibia",FALSE
"Melanophryniscus_spectabilis","Bufonidae","Amphibia",FALSE
"Melanophryniscus_stelzneri","Bufonidae","Amphibia",TRUE
"Melanophryniscus_tumifrons","Bufonidae","Amphibia",FALSE
"Metaphryniscus_sosai","Bufonidae","Amphibia",FALSE
"Microcaecilia_albiceps","Caeciliidae","Amphibia",TRUE
"Microcaecilia_nicefori","Siphonopidae","Amphibia",FALSE
"Microcaecilia_pricei","Siphonopidae","Amphibia",FALSE
"Microcaecilia_rabei","Caeciliidae","Amphibia",TRUE
"Microcaecilia_taylori","Caeciliidae","Amphibia",TRUE
"Microcaecilia_unicolor","Caeciliidae","Amphibia",TRUE
"Mimosiphonops_vermiculatus","Caeciliidae","Amphibia",TRUE
"Minyobates_steyermarki","Dendrobatidae","Amphibia",TRUE
"Myersiella_microps","Microhylidae","Amphibia",TRUE
"Myersiohyla_aromatica","Hylidae","Amphibia",TRUE
"Myersiohyla_inparquesi","Hylidae","Amphibia",TRUE
"Myersiohyla_kanaima","Hylidae","Amphibia",TRUE
"Myersiohyla_loveridgei","Hylidae","Amphibia",TRUE
"Nannophryne_apolobambica","Bufonidae","Amphibia",TRUE
"Nannophryne_cophotis","Bufonidae","Amphibia",FALSE
"Nannophryne_corynetes","Bufonidae","Amphibia",FALSE
"Nannophryne_variegata","Bufonidae","Amphibia",TRUE
"Nectocaecilia_petersii","Caeciliidae","Amphibia",TRUE
"Necturus_alabamensis","Proteidae","Amphibia",TRUE
"Necturus_beyeri","Proteidae","Amphibia",TRUE
"Necturus_lewisi","Proteidae","Amphibia",TRUE
"Necturus_maculosus","Proteidae","Amphibia",TRUE
"Necturus_punctatus","Proteidae","Amphibia",TRUE
"Niceforonia_adenobrachia","Strabomantidae","Amphibia",FALSE
"Niceforonia_columbiana","Strabomantidae","Amphibia",FALSE
"Niceforonia_nana","Strabomantidae","Amphibia",TRUE
"Noblella_carrascoicola","Strabomantidae","Amphibia",FALSE
"Noblella_coloma","Strabomantidae","Amphibia",FALSE
"Noblella_duellmani","Craugastoridae","Amphibia",FALSE
"Noblella_heyeri","Strabomantidae","Amphibia",FALSE
"Noblella_lochites","Strabomantidae","Amphibia",FALSE
"Noblella_lynchi","Strabomantidae","Amphibia",FALSE
"Noblella_myrmecoides","Strabomantidae","Amphibia",TRUE
"Noblella_pygmaea","Strabomantidae","Amphibia",FALSE
"Noblella_ritarasquinae","Strabomantidae","Amphibia",FALSE
"Notophthalmus_meridionalis","Salamandridae","Amphibia",TRUE
"Notophthalmus_perstriatus","Salamandridae","Amphibia",TRUE
"Notophthalmus_viridescens","Salamandridae","Amphibia",TRUE
"Nototriton_abscondens","Plethodontidae","Amphibia",TRUE
"Nototriton_barbouri","Plethodontidae","Amphibia",TRUE
"Nototriton_brodiei","Plethodontidae","Amphibia",FALSE
"Nototriton_gamezi","Plethodontidae","Amphibia",TRUE
"Nototriton_guanacaste","Plethodontidae","Amphibia",TRUE
"Nototriton_lignicola","Plethodontidae","Amphibia",TRUE
"Nototriton_limnospectator","Plethodontidae","Amphibia",TRUE
"Nototriton_major","Plethodontidae","Amphibia",TRUE
"Nototriton_picadoi","Plethodontidae","Amphibia",TRUE
"Nototriton_richardi","Plethodontidae","Amphibia",TRUE
"Nototriton_saslaya","Plethodontidae","Amphibia",FALSE
"Nototriton_stuarti","Plethodontidae","Amphibia",FALSE
"Nototriton_tapanti","Plethodontidae","Amphibia",TRUE
"Nyctanolis_pernix","Plethodontidae","Amphibia",FALSE
"Nyctimantis_rugiceps","Hylidae","Amphibia",TRUE
"Nymphargus_anomalus","Centrolenidae","Amphibia",TRUE
"Nymphargus_armatus","Centrolenidae","Amphibia",TRUE
"Nymphargus_bejaranoi","Centrolenidae","Amphibia",TRUE
"Nymphargus_buenaventura","Centrolenidae","Amphibia",FALSE
"Nymphargus_cariticommatus","Centrolenidae","Amphibia",TRUE
"Nymphargus_chami","Centrolenidae","Amphibia",TRUE
"Nymphargus_chancas","Centrolenidae","Amphibia",TRUE
"Nymphargus_cochranae","Centrolenidae","Amphibia",TRUE
"Nymphargus_cristinae","Centrolenidae","Amphibia",TRUE
"Nymphargus_garciae","Centrolenidae","Amphibia",TRUE
"Nymphargus_grandisonae","Centrolenidae","Amphibia",TRUE
"Nymphargus_griffithsi","Centrolenidae","Amphibia",TRUE
"Nymphargus_ignotus","Centrolenidae","Amphibia",TRUE
"Nymphargus_laurae","Centrolenidae","Amphibia",TRUE
"Nymphargus_luminosus","Centrolenidae","Amphibia",TRUE
"Nymphargus_luteopunctatus","Centrolenidae","Amphibia",TRUE
"Nymphargus_mariae","Centrolenidae","Amphibia",TRUE
"Nymphargus_megacheirus","Centrolenidae","Amphibia",TRUE
"Nymphargus_mixomaculatus","Centrolenidae","Amphibia",FALSE
"Nymphargus_nephelophila","Centrolenidae","Amphibia",TRUE
"Nymphargus_ocellatus","Centrolenidae","Amphibia",FALSE
"Nymphargus_oreonympha","Centrolenidae","Amphibia",TRUE
"Nymphargus_phenax","Centrolenidae","Amphibia",TRUE
"Nymphargus_pluvialis","Centrolenidae","Amphibia",TRUE
"Nymphargus_posadae","Centrolenidae","Amphibia",TRUE
"Nymphargus_prasinus","Centrolenidae","Amphibia",TRUE
"Nymphargus_puyoensis","Centrolenidae","Amphibia",TRUE
"Nymphargus_rosada","Centrolenidae","Amphibia",TRUE
"Nymphargus_ruizi","Centrolenidae","Amphibia",TRUE
"Nymphargus_siren","Centrolenidae","Amphibia",TRUE
"Nymphargus_spilotus","Centrolenidae","Amphibia",TRUE
"Nymphargus_truebae","Centrolenidae","Amphibia",FALSE
"Nymphargus_vicenteruedai","Centrolenidae","Amphibia",FALSE
"Nymphargus_wileyi","Centrolenidae","Amphibia",TRUE
"Odontophrynus_achalensis","Cycloramphidae","Amphibia",FALSE
"Odontophrynus_americanus","Cycloramphidae","Amphibia",TRUE
"Odontophrynus_barrioi","Odontophrynidae","Amphibia",FALSE
"Odontophrynus_carvalhoi","Cycloramphidae","Amphibia",TRUE
"Odontophrynus_cordobae","Cycloramphidae","Amphibia",TRUE
"Odontophrynus_cultripes","Cycloramphidae","Amphibia",TRUE
"Odontophrynus_lavillai","Cycloramphidae","Amphibia",TRUE
"Odontophrynus_occidentalis","Cycloramphidae","Amphibia",TRUE
"Odontophrynus_salvatori","Cycloramphidae","Amphibia",FALSE
"Oedipina_alfaroi","Plethodontidae","Amphibia",TRUE
"Oedipina_alleni","Plethodontidae","Amphibia",TRUE
"Oedipina_altura","Plethodontidae","Amphibia",TRUE
"Oedipina_carablanca","Plethodontidae","Amphibia",TRUE
"Oedipina_collaris","Plethodontidae","Amphibia",FALSE
"Oedipina_complex","Plethodontidae","Amphibia",FALSE
"Oedipina_cyclocauda","Plethodontidae","Amphibia",TRUE
"Oedipina_elongata","Plethodontidae","Amphibia",TRUE
"Oedipina_gephyra","Plethodontidae","Amphibia",TRUE
"Oedipina_gracilis","Plethodontidae","Amphibia",TRUE
"Oedipina_grandis","Plethodontidae","Amphibia",TRUE
"Oedipina_ignea","Plethodontidae","Amphibia",TRUE
"Oedipina_maritima","Plethodontidae","Amphibia",FALSE
"Oedipina_pacificensis","Plethodontidae","Amphibia",TRUE
"Oedipina_parvipes","Plethodontidae","Amphibia",FALSE
"Oedipina_paucidentata","Plethodontidae","Amphibia",TRUE
"Oedipina_poelzi","Plethodontidae","Amphibia",TRUE
"Oedipina_pseudouniformis","Plethodontidae","Amphibia",TRUE
"Oedipina_savagei","Plethodontidae","Amphibia",TRUE
"Oedipina_stenopodia","Plethodontidae","Amphibia",FALSE
"Oedipina_stuarti","Plethodontidae","Amphibia",TRUE
"Oedipina_taylori","Plethodontidae","Amphibia",TRUE
"Oedipina_tomasi","Plethodontidae","Amphibia",TRUE
"Oedipina_uniformis","Plethodontidae","Amphibia",TRUE
"Oophaga_arborea","Dendrobatidae","Amphibia",TRUE
"Oophaga_granulifera","Dendrobatidae","Amphibia",TRUE
"Oophaga_histrionica","Dendrobatidae","Amphibia",TRUE
"Oophaga_lehmanni","Dendrobatidae","Amphibia",TRUE
"Oophaga_occultator","Dendrobatidae","Amphibia",TRUE
"Oophaga_pumilio","Dendrobatidae","Amphibia",TRUE
"Oophaga_speciosa","Dendrobatidae","Amphibia",TRUE
"Oophaga_sylvatica","Dendrobatidae","Amphibia",TRUE
"Oophaga_vicentei","Dendrobatidae","Amphibia",TRUE
"Oreobates_ayacucho","Craugastoridae","Amphibia",FALSE
"Oreobates_choristolemma","Strabomantidae","Amphibia",TRUE
"Oreobates_crepitans","Craugastoridae","Amphibia",FALSE
"Oreobates_cruralis","Strabomantidae","Amphibia",TRUE
"Oreobates_discoidalis","Strabomantidae","Amphibia",TRUE
"Oreobates_heterodactylus","Strabomantidae","Amphibia",TRUE
"Oreobates_ibischi","Strabomantidae","Amphibia",TRUE
"Oreobates_lehri","Strabomantidae","Amphibia",TRUE
"Oreobates_lundbergi","Craugastoridae","Amphibia",FALSE
"Oreobates_madidi","Strabomantidae","Amphibia",TRUE
"Oreobates_pereger","Strabomantidae","Amphibia",FALSE
"Oreobates_quixensis","Strabomantidae","Amphibia",TRUE
"Oreobates_sanctaecrucis","Strabomantidae","Amphibia",TRUE
"Oreobates_sanderi","Strabomantidae","Amphibia",TRUE
"Oreobates_saxatilis","Strabomantidae","Amphibia",TRUE
"Oreobates_zongoensis","Strabomantidae","Amphibia",TRUE
"Oreophrynella_cryptica","Bufonidae","Amphibia",TRUE
"Oreophrynella_dendronastes","Bufonidae","Amphibia",TRUE
"Oreophrynella_huberi","Bufonidae","Amphibia",FALSE
"Oreophrynella_macconnelli","Bufonidae","Amphibia",TRUE
"Oreophrynella_nigra","Bufonidae","Amphibia",FALSE
"Oreophrynella_quelchii","Bufonidae","Amphibia",TRUE
"Oreophrynella_vasquezi","Bufonidae","Amphibia",FALSE
"Oreophrynella_weiassipuensis","Bufonidae","Amphibia",FALSE
"Oscaecilia_bassleri","Caeciliidae","Amphibia",TRUE
"Oscaecilia_elongata","Caeciliidae","Amphibia",TRUE
"Oscaecilia_hypereumeces","Caeciliidae","Amphibia",TRUE
"Oscaecilia_koepckeorum","Caeciliidae","Amphibia",FALSE
"Oscaecilia_ochrocephala","Caeciliidae","Amphibia",TRUE
"Oscaecilia_osae","Caeciliidae","Amphibia",TRUE
"Oscaecilia_polyzona","Caeciliidae","Amphibia",TRUE
"Osornophryne_antisana","Bufonidae","Amphibia",TRUE
"Osornophryne_bufoniformis","Bufonidae","Amphibia",TRUE
"Osornophryne_cofanorum","Bufonidae","Amphibia",FALSE
"Osornophryne_guacamayo","Bufonidae","Amphibia",TRUE
"Osornophryne_percrassa","Bufonidae","Amphibia",TRUE
"Osornophryne_puruanta","Bufonidae","Amphibia",FALSE
"Osornophryne_sumacoensis","Bufonidae","Amphibia",TRUE
"Osornophryne_talipes","Bufonidae","Amphibia",TRUE
"Osteocephalus_alboguttatus","Hylidae","Amphibia",TRUE
"Osteocephalus_buckleyi","Hylidae","Amphibia",TRUE
"Osteocephalus_cabrerai","Hylidae","Amphibia",TRUE
"Osteocephalus_castaneicola","Hylidae","Amphibia",FALSE
"Osteocephalus_deridens","Hylidae","Amphibia",TRUE
"Osteocephalus_exophthalmus","Hylidae","Amphibia",TRUE
"Osteocephalus_fuscifacies","Hylidae","Amphibia",TRUE
"Osteocephalus_heyeri","Hylidae","Amphibia",TRUE
"Osteocephalus_leoniae","Hylidae","Amphibia",TRUE
"Osteocephalus_leprieurii","Hylidae","Amphibia",TRUE
"Osteocephalus_mutabor","Hylidae","Amphibia",TRUE
"Osteocephalus_oophagus","Hylidae","Amphibia",TRUE
"Osteocephalus_pearsoni","Hylidae","Amphibia",TRUE
"Osteocephalus_planiceps","Hylidae","Amphibia",TRUE
"Osteocephalus_subtilis","Hylidae","Amphibia",TRUE
"Osteocephalus_taurinus","Hylidae","Amphibia",TRUE
"Osteocephalus_verruciger","Hylidae","Amphibia",TRUE
"Osteocephalus_yasuni","Hylidae","Amphibia",TRUE
"Osteopilus_crucialis","Hylidae","Amphibia",TRUE
"Osteopilus_dominicensis","Hylidae","Amphibia",TRUE
"Osteopilus_marianae","Hylidae","Amphibia",TRUE
"Osteopilus_ocellatus","Hylidae","Amphibia",TRUE
"Osteopilus_pulchrilineatus","Hylidae","Amphibia",TRUE
"Osteopilus_septentrionalis","Hylidae","Amphibia",TRUE
"Osteopilus_vastus","Hylidae","Amphibia",TRUE
"Osteopilus_wilderi","Hylidae","Amphibia",TRUE
"Otophryne_pyburni","Microhylidae","Amphibia",TRUE
"Otophryne_robusta","Microhylidae","Amphibia",TRUE
"Otophryne_steyermarki","Microhylidae","Amphibia",TRUE
"Paratelmatobius_cardosoi","Leptodactylidae","Amphibia",TRUE
"Paratelmatobius_gaigeae","Leptodactylidae","Amphibia",TRUE
"Paratelmatobius_lutzii","Leptodactylidae","Amphibia",TRUE
"Paratelmatobius_mantiqueira","Leptodactylidae","Amphibia",TRUE
"Paratelmatobius_poecilogaster","Leptodactylidae","Amphibia",TRUE
"Parvimolge_townsendi","Plethodontidae","Amphibia",FALSE
"Peltophryne_cataulaciceps","Bufonidae","Amphibia",FALSE
"Peltophryne_florentinoi","Bufonidae","Amphibia",FALSE
"Peltophryne_fluviatica","Bufonidae","Amphibia",FALSE
"Peltophryne_fracta","Bufonidae","Amphibia",FALSE
"Peltophryne_fustiger","Bufonidae","Amphibia",TRUE
"Peltophryne_guentheri","Bufonidae","Amphibia",TRUE
"Peltophryne_gundlachi","Bufonidae","Amphibia",FALSE
"Peltophryne_lemur","Bufonidae","Amphibia",FALSE
"Peltophryne_longinasus","Bufonidae","Amphibia",TRUE
"Peltophryne_peltocephala","Bufonidae","Amphibia",FALSE
"Peltophryne_taladai","Bufonidae","Amphibia",TRUE
"Phaeognathus_hubrichti","Plethodontidae","Amphibia",TRUE
"Phasmahyla_cochranae","Hylidae","Amphibia",TRUE
"Phasmahyla_exilis","Hylidae","Amphibia",TRUE
"Phasmahyla_guttata","Hylidae","Amphibia",TRUE
"Phasmahyla_jandaia","Hylidae","Amphibia",TRUE
"Phasmahyla_spectabilis","Hylidae","Amphibia",TRUE
"Phasmahyla_timbo","Hylidae","Amphibia",TRUE
"Phrynomedusa_appendiculata","Hylidae","Amphibia",TRUE
"Phrynomedusa_bokermanni","Hylidae","Amphibia",TRUE
"Phrynomedusa_fimbriata","Hylidae","Amphibia",FALSE
"Phrynomedusa_marginata","Hylidae","Amphibia",TRUE
"Phrynomedusa_vanzolinii","Hylidae","Amphibia",TRUE
"Phrynopus_auriculatus","Strabomantidae","Amphibia",TRUE
"Phrynopus_barthlenae","Strabomantidae","Amphibia",FALSE
"Phrynopus_bracki","Strabomantidae","Amphibia",TRUE
"Phrynopus_bufoides","Strabomantidae","Amphibia",TRUE
"Phrynopus_dagmarae","Strabomantidae","Amphibia",TRUE
"Phrynopus_heimorum","Strabomantidae","Amphibia",FALSE
"Phrynopus_horstpauli","Strabomantidae","Amphibia",FALSE
"Phrynopus_juninensis","Strabomantidae","Amphibia",FALSE
"Phrynopus_kauneorum","Strabomantidae","Amphibia",TRUE
"Phrynopus_kotosh","Strabomantidae","Amphibia",FALSE
"Phrynopus_miroslawae","Strabomantidae","Amphibia",TRUE
"Phrynopus_montium","Strabomantidae","Amphibia",FALSE
"Phrynopus_nicoleae","Strabomantidae","Amphibia",TRUE
"Phrynopus_oblivius","Strabomantidae","Amphibia",FALSE
"Phrynopus_paucari","Strabomantidae","Amphibia",TRUE
"Phrynopus_peruanus","Strabomantidae","Amphibia",FALSE
"Phrynopus_pesantesi","Strabomantidae","Amphibia",TRUE
"Phrynopus_tautzorum","Strabomantidae","Amphibia",FALSE
"Phrynopus_thompsoni","Strabomantidae","Amphibia",FALSE
"Phrynopus_tribulosus","Strabomantidae","Amphibia",TRUE
"Phyllobates_aurotaenia","Dendrobatidae","Amphibia",TRUE
"Phyllobates_bicolor","Dendrobatidae","Amphibia",TRUE
"Phyllobates_lugubris","Dendrobatidae","Amphibia",TRUE
"Phyllobates_terribilis","Dendrobatidae","Amphibia",TRUE
"Phyllobates_vittatus","Dendrobatidae","Amphibia",TRUE
"Phyllodytes_acuminatus","Hylidae","Amphibia",TRUE
"Phyllodytes_brevirostris","Hylidae","Amphibia",TRUE
"Phyllodytes_edelmoi","Hylidae","Amphibia",TRUE
"Phyllodytes_gyrinaethes","Hylidae","Amphibia",TRUE
"Phyllodytes_kautskyi","Hylidae","Amphibia",TRUE
"Phyllodytes_luteolus","Hylidae","Amphibia",TRUE
"Phyllodytes_maculosus","Hylidae","Amphibia",FALSE
"Phyllodytes_melanomystax","Hylidae","Amphibia",TRUE
"Phyllodytes_punctatus","Hylidae","Amphibia",TRUE
"Phyllodytes_tuberculosus","Hylidae","Amphibia",TRUE
"Phyllodytes_wuchereri","Hylidae","Amphibia",TRUE
"Phyllomedusa_araguari","Phyllomedusidae","Amphibia",FALSE
"Phyllomedusa_atelopoides","Hylidae","Amphibia",TRUE
"Phyllomedusa_ayeaye","Hylidae","Amphibia",TRUE
"Phyllomedusa_azurea","Hylidae","Amphibia",TRUE
"Phyllomedusa_bahiana","Hylidae","Amphibia",TRUE
"Phyllomedusa_baltea","Hylidae","Amphibia",TRUE
"Phyllomedusa_bicolor","Hylidae","Amphibia",TRUE
"Phyllomedusa_boliviana","Hylidae","Amphibia",TRUE
"Phyllomedusa_burmeisteri","Hylidae","Amphibia",TRUE
"Phyllomedusa_camba","Hylidae","Amphibia",TRUE
"Phyllomedusa_centralis","Hylidae","Amphibia",TRUE
"Phyllomedusa_coelestis","Hylidae","Amphibia",TRUE
"Phyllomedusa_distincta","Hylidae","Amphibia",TRUE
"Phyllomedusa_duellmani","Phyllomedusidae","Amphibia",FALSE
"Phyllomedusa_ecuatoriana","Hylidae","Amphibia",TRUE
"Phyllomedusa_hypochondrialis","Hylidae","Amphibia",TRUE
"Phyllomedusa_iheringii","Hylidae","Amphibia",TRUE
"Phyllomedusa_itacolomi","Phyllomedusidae","Amphibia",FALSE
"Phyllomedusa_megacephala","Hylidae","Amphibia",TRUE
"Phyllomedusa_neildi","Hylidae","Amphibia",TRUE
"Phyllomedusa_nordestina","Hylidae","Amphibia",TRUE
"Phyllomedusa_oreades","Hylidae","Amphibia",TRUE
"Phyllomedusa_palliata","Hylidae","Amphibia",TRUE
"Phyllomedusa_perinesos","Hylidae","Amphibia",TRUE
"Phyllomedusa_rohdei","Hylidae","Amphibia",TRUE
"Phyllomedusa_sauvagii","Hylidae","Amphibia",TRUE
"Phyllomedusa_tarsius","Hylidae","Amphibia",TRUE
"Phyllomedusa_tetraploidea","Hylidae","Amphibia",TRUE
"Phyllomedusa_tomopterna","Hylidae","Amphibia",TRUE
"Phyllomedusa_trinitatis","Hylidae","Amphibia",TRUE
"Phyllomedusa_vaillantii","Hylidae","Amphibia",TRUE
"Phyllomedusa_venusta","Hylidae","Amphibia",TRUE
"Physalaemus_aguirrei","Leiuperidae","Amphibia",TRUE
"Physalaemus_albifrons","Leiuperidae","Amphibia",TRUE
"Physalaemus_albonotatus","Leiuperidae","Amphibia",TRUE
"Physalaemus_angrensis","Leiuperidae","Amphibia",TRUE
"Physalaemus_atlanticus","Leiuperidae","Amphibia",TRUE
"Physalaemus_barrioi","Leptodactylidae","Amphibia",FALSE
"Physalaemus_biligonigerus","Leiuperidae","Amphibia",TRUE
"Physalaemus_bokermanni","Leiuperidae","Amphibia",TRUE
"Physalaemus_caete","Leiuperidae","Amphibia",FALSE
"Physalaemus_camacan","Leiuperidae","Amphibia",FALSE
"Physalaemus_centralis","Leiuperidae","Amphibia",TRUE
"Physalaemus_cicada","Leiuperidae","Amphibia",TRUE
"Physalaemus_crombiei","Leiuperidae","Amphibia",TRUE
"Physalaemus_cuqui","Leiuperidae","Amphibia",TRUE
"Physalaemus_cuvieri","Leiuperidae","Amphibia",TRUE
"Physalaemus_deimaticus","Leiuperidae","Amphibia",TRUE
"Physalaemus_ephippifer","Leiuperidae","Amphibia",TRUE
"Physalaemus_erikae","Leiuperidae","Amphibia",TRUE
"Physalaemus_erythros","Leiuperidae","Amphibia",TRUE
"Physalaemus_evangelistai","Leiuperidae","Amphibia",TRUE
"Physalaemus_fernandezae","Leiuperidae","Amphibia",TRUE
"Physalaemus_fischeri","Leiuperidae","Amphibia",TRUE
"Physalaemus_gracilis","Leiuperidae","Amphibia",TRUE
"Physalaemus_henselii","Leiuperidae","Amphibia",TRUE
"Physalaemus_insperatus","Leiuperidae","Amphibia",TRUE
"Physalaemus_irroratus","Leiuperidae","Amphibia",FALSE
"Physalaemus_jordanensis","Leiuperidae","Amphibia",TRUE
"Physalaemus_kroyeri","Leiuperidae","Amphibia",TRUE
"Physalaemus_lisei","Leiuperidae","Amphibia",TRUE
"Physalaemus_maculiventris","Leiuperidae","Amphibia",TRUE
"Physalaemus_marmoratus","Leiuperidae","Amphibia",TRUE
"Physalaemus_maximus","Leiuperidae","Amphibia",TRUE
"Physalaemus_moreirae","Leiuperidae","Amphibia",TRUE
"Physalaemus_nanus","Leiuperidae","Amphibia",TRUE
"Physalaemus_obtectus","Leiuperidae","Amphibia",TRUE
"Physalaemus_olfersii","Leiuperidae","Amphibia",TRUE
"Physalaemus_riograndensis","Leiuperidae","Amphibia",TRUE
"Physalaemus_rupestris","Leiuperidae","Amphibia",TRUE
"Physalaemus_santafecinus","Leiuperidae","Amphibia",TRUE
"Physalaemus_signifer","Leiuperidae","Amphibia",TRUE
"Physalaemus_soaresi","Leiuperidae","Amphibia",TRUE
"Physalaemus_spiniger","Leiuperidae","Amphibia",TRUE
"Phytotriades_auratus","Hylidae","Amphibia",FALSE
"Phyzelaphryne_miriamae","Eleutherodactylidae","Amphibia",TRUE
"Pipa_arrabali","Pipidae","Amphibia",TRUE
"Pipa_aspera","Pipidae","Amphibia",TRUE
"Pipa_carvalhoi","Pipidae","Amphibia",TRUE
"Pipa_myersi","Pipidae","Amphibia",TRUE
"Pipa_parva","Pipidae","Amphibia",TRUE
"Pipa_pipa","Pipidae","Amphibia",TRUE
"Pipa_snethlageae","Pipidae","Amphibia",TRUE
"Platymantis_vitianus","Ceratobatrachidae","Amphibia",FALSE
